id,gender,birthday,num
aaa,F,2001,34255718
aaa,F,2001,31133815
aaa,F,2001,31133837
aaa,F,2001,4745682
aaa,F,2001,31133901
admain,M,1997,33507137
admain,M,1997,33487342
asd,M,1997,31145871
asd,M,1997,32183386
asd,M,1997,32578498
asd,M,1997,31346009
asd,M,1997,33695837
asd,M,1997,33480898
asd,M,1997,33507137
asd,M,1997,32937125
asd,M,1997,32491274
asd,M,1997,33691794
asd,M,1997,33067476
asd,M,1997,34041584
asd,M,1997,33487342
asd,M,1997,31969182
asd,M,1997,33464805
asd,M,1997,31297335
asd,M,1997,31955739
asd,M,1997,32445339
asd,M,1997,31606729
asd,M,1997,33037787
asd,M,1997,31093710
asd,M,1997,8124417
asd,M,1997,7880306
ccc,F,2002,30602534
ccc,F,2002,7880306
ccc,F,2002,30710522
ccc,F,2002,33387234
ccc,F,2002,7866821
ccc,F,2002,30601238
ddd,F,2003,32492592
ddd,F,2003,30524912
ddd,F,2003,30876295
ddd,F,2003,3338348
ddd,F,2003,5797684
dsa3574,M,1997,33507137
dsa3574,M,1997,33077234
dsa3574,M,1997,
dsa3574,M,1997,34153818
dsa3574,M,1997,34041584
dsa3574,M,1997,32475713
dsa3574,M,1997,33725775
dsa3574,M,1997,33699116
dsa3574,M,1997,32578498
eee,F,2004,17688
eowkd27,M,1997,32944335
eowkd27,M,1997,31612325
eowkd27,M,1997,7880306
eowkd27,M,1997,33387234
eowkd27,M,1997,31294601
eowkd27,M,1997,31286376
eowkd27,M,1997,33077234
eowkd27,M,1997,
eowkd27,M,1997,33507137
fff,F,2004,31526517
gkstmf,F,1987,7880306
gkstmf,F,1987,33387234
gkstmf,F,1987,33507137
gkstmf,F,1987,32578498
gkstmf,F,1987,31286376
gkstmf,F,1987,31283501
gkstmf,F,1987,5562526
gkstmf,F,1987,33061995
gpgpgp,M,2004,32574153
